id,skill
91972625,Linux
91972625,Python
91972625,PostgreSQL
104638836,Python
104638836,Django
104638836,HTML
104638836,CSS
104638836,Bootstrap
104638836,REST API
104638836,SOLID
104638836,Celery
104638836,Redis
104754927,Python
104754927,HTML
104754927,SQL
104754927,PostgreSQL
104754927,React
104754927,REST API
104754927,Django Framework
103641114,Работа с большим объемом информации
103641114,API
103641114,Python
103641114,Requests
103641114,Git
103641114,ETL
103641114,Торговая площадка
103641114,Маркетплейсы
103641114,Ozon
103641114,Wildberries
103641114,Яндекс.Маркет
103641114,E-Commerce
104152079,FastAPI
104152079,Django Framework
104152079,Python
104152079,PostgreSQL
104152079,Docker
104208221,AngularJS
104208221,JavaScript
104208221,Git
104208221,SVN
104208221,HTML
104208221,MySQL
104377563,Работа с большим объемом информации
104377563,1С: Предприятие 8
104377563,Базы данных
104377563,SQL
104377563,Математическое программирование
104377563,Поиск информации в интернет
104377563,Аналитическое мышление
104377563,Оперативный поиск информации в сети Интернет
104377563,1С: Бухгалтерия
104377563,Java
104377563,Python
104423521,Git
104423521,PostgreSQL
104423521,Python
104423521,Django Framework
104423521,Redis
104423521,RabbitMQ
103908455,Google Analytics
103908455,Google Tag Manager
103908455,SQL
103908455,Продуктовые метрики
103908455,Tableau
104138531,Python
104138531,Pytest
104138531,Тестирование
104793223,Python
104793223,PostgreSQL
104793223,FastAPI
101086682,Тестирование
101086682,QA
101086682,Python
101086682,Git
104209024,Python
104209024,SQL
104209024,Английский язык
104209024,C/C++
104209024,Управление временем
104209024,Linux
104209024,CSS
104209024,HTML
104431023,SQL
104431023,Python
104431023,Анализ данных
104693339,Python
104693339,SQL
104693339,QA
104693339,Тестирование
104693339,API
103490361,ML
103490361,data science
103490361,Python
103490361,Numpy
103490361,Анализ данных
103490361,Machine Learning
103490361,pandas
103490361,Математическая статистика
104017047,Удаленная работа
104017047,Желание работать и развиваться
104017047,AI (ИИ)
98296860,Linux
104164514,"Oracle, MySQL, PostgreSQL"
104164514,API
104164514,Git
104164514,Linux
104164514,Docker
104164514,Python
104164514,Perl
102188745,Linux
102188745,Docker
102188745,Atlassian Confluence
102188745,Atlassian Jira
102188745,Python
102188745,PostgreSQL
102188745,Общение с клиентами
102188745,Bash
102188745,Администрирование серверов Linux
102188745,ServiceDesk
102188745,OpenShift
104444673,Информационные технологии
104444673,Обучение и развитие
104444673,Проектирование
104444673,Разработка проектной документации
104444673,ГОСТ
104444673,Техническая документация
104444673,Test case
104444673,QA
104444673,Тестирование
104444673,Python
104444673,Pytest
104444673,selenium webdriver
104444673,Git
104444673,Проведение тестирований
98004649,SQL
98004649,Работа с базами данных
98004649,Анализ данных
98004649,MS Excel
102592341,SQL
102592341,Python
102592341,Numpy
102592341,pandas
102592341,А/В-тестирование
100727480,Git
100727480,C/C++
100727480,Python
100727480,Computer Vision
100727480,Deep Learning
100727480,OpenCV
103226497,Python
103226497,Git
103226497,PostgreSQL
103226497,ООП
103226497,Django Framework
104355541,Работа с большим объемом информации
104355541,Точность и внимательность к деталям
104355541,Аналитическое мышление
103619019,Графический дизайн
103619019,Figma
103619019,Adobe Photoshop
103619019,Adobe Illustrator
104532352,Linux
104532352,Администрирование сетевого оборудования
104532352,Настройка сетевых подключений
104532352,Администрирование серверов Windows
104532352,Техническое обслуживание
103652576,Linux
103652576,Python
103652576,Zabbix
103652576,СУБД
104212416,Linux
104212416,Grafana
104212416,Atlassian Jira
104212416,Bash
104212416,Ansible
104125110,Python
104125110,Ruby
104125110,C#
104125110,REST API
104125110,SQL
104125110,Unit-тесты
104125110,Git
104125110,j
100843012,SQL
100843012,Python
100843012,Работа с базами данных
100843012,Сбор и анализ информации
100843012,FastAPI
100843012,NoSQL
100843012,MongoDB
100843012,Big Data
100843012,Elastic
100843012,Clickhouse
100843012,Информационная безопасность
100843012,Аналитические исследования
100843012,Аналитика
100843012,Анализ данных
100843012,Git
100843012,API
100843012,Redash
103533545,Python
103533545,REST
103533545,Django
103533545,Sanic
103533545,Tornado
103533545,FastAPI
103533545,PostgreSQL
